Identifiant_de_l_etablissement;Type_etablissement;Statut_public_prive;Nom_etablissement;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_departement;Libelle_departement;Code_academie;Libelle_academie;Code_region;Libelle_region;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Web;Mail;Post_BAC;Section_arts;Section_cinema;Section_theatre;latitude;longitude;libelle_nature
CH_LY_021;Lycée cantonal;Public;Lycée Jean-Piaget (Option Arts visuels);Parc de la Maladière 1;;2000 NEUCHATEL;2000;CH-NE;Neuchâtel;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 32 886 42 00;lycee-jean-piaget.ch;lycee.jean-piaget@rpn.ch;f;t;f;f;46.998000;6.949000;LYCEE CANTONAL
CH_LY_022;Collège cantonal;Public;Lycée-Collège de l'Abbaye de Saint-Maurice (Arts visuels);Avenue d'Agaune 3;;1890 SAINT-MAURICE;1890;CH-VS;Valais;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 27 607 14 00;www.lyca.ch;secretariat@lyca.ch;f;t;f;f;46.218000;7.001000;LYCEE-COLLEGE CANTONAL
CH_LY_023;Collège cantonal;Public;Lycée-Collège des Creusets (Option Arts visuels);Rue des Creusets 19;;1950 SION;1950;CH-VS;Valais;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 27 606 43 00;www.creusets.ch;info@creusets.ch;f;t;f;f;46.229000;7.362000;LYCEE-COLLEGE CANTONAL
CH_EC_024;Haute École d'Art et de Design;Public;ZHdK - Zürcher Hochschule der Künste (Zurich University of the Arts);Pfingstweidstrasse 96;;8005 ZURICH;8005;CH-ZH;Zurich;CH;Suisse;CH-ALE;Suisse Alémanique;f;f;f;+41 43 446 46 46;www.zhdk.ch;hochschulkommunikation@zhdk.ch;t;t;t;t;47.390800;8.513300;HAUTE ECOLE SPECIALISEE
CH_EC_025;Haute École d'Art et de Design;Public;HSLU - Lucerne University of Applied Sciences and Arts (Design & Kunst);Nylsuisseplatz 1;;6020 EMMENBRUCKE / LUZERN;6020;CH-LU;Lucerne;CH;Suisse;CH-ALE;Suisse Alémanique;f;f;f;+41 41 248 64 64;www.hslu.ch;design-kunst@hslu.ch;t;t;t;f;47.070500;8.286300;HAUTE ECOLE SPECIALISEE
CH_EC_026;Haute École d'Art et de Design;Public;HGK Basel - FHNW Academy of Art and Design;Freilager-Platz 1;;4002 BASEL;4002;CH-BS;Bâle-Ville;CH;Suisse;CH-ALE;Suisse Alémanique;f;f;f;+41 61 228 55 55;www.fhnw.ch/hgk;info.hgk@fhnw.ch;t;t;f;f;47.534200;7.604400;HAUTE ECOLE SPECIALISEE
CH_EC_027;Haute École d'Art et de Design;Public;HKB - Haute école des arts de Berne (BFH);Fellerstrasse 11;;3027 BERN;3027;CH-BE;Berne;CH;Suisse;CH-ALE;Suisse Alémanique;f;f;f;+41 31 848 38 48;www.hkb.bfh.ch;hkb@bfh.ch;t;t;t;t;46.945200;7.387100;HAUTE ECOLE SPECIALISEE
CH_LY_028;École d'Arts Appliqués / Lycée;Public;Schule für Gestaltung Bern und Biel;Schänzlihalde 31;;3013 BERN;3013;CH-BE;Berne;CH;Suisse;CH-ALE;Suisse Alémanique;t;t;t;+41 31 337 41 11;www.sfgb-b.ch;info@sfgb-b.ch;t;t;f;f;46.953500;7.447800;ECOLE D ARTS APPLIQUES
CH_LY_029;École d'Arts Appliqués / Lycée;Public;Schule für Gestaltung Basel;Vogelsangstrasse 15;;4005 BASEL;4005;CH-BS;Bâle-Ville;CH;Suisse;CH-ALE;Suisse Alémanique;t;t;t;+41 61 695 67 77;www.sfgbasel.ch;sfgbasel@edubs.ch;t;t;f;f;47.564700;7.603300;ECOLE D ARTS APPLIQUES
CH_LY_030;École d'Arts Appliqués / Lycée;Public;Schule für Gestaltung Zürich;Ausstellungsstrasse 104;;8005 ZURICH;8005;CH-ZH;Zurich;CH;Suisse;CH-ALE;Suisse Alémanique;t;t;t;+41 44 446 97 77;www.sfgz.ch;info@sfgz.ch;t;t;f;f;47.383100;8.533200;ECOLE D ARTS APPLIQUES
CH_LY_031;École d'Arts Appliqués / Lycée;Public;Schule für Gestaltung St.Gallen;Demutstrasse 115;;9012 ST. GALLEN;9012;CH-SG;Saint-Gall;CH;Suisse;CH-ALE;Suisse Alémanique;t;t;t;+41 58 228 26 00;www.gbssg.ch;gestaltung@gbssg.ch;t;t;f;f;47.411600;9.351200;ECOLE D ARTS APPLIQUES
CH_LY_032;École d'Arts Appliqués / Lycée;Public;Schule für Gestaltung Aargau (BZZ);Kanalstrasse 20;;5000 AARAU;5000;CH-AG;Argovie;CH;Suisse;CH-ALE;Suisse Alémanique;t;t;t;+41 62 834 40 40;www.sfgaargau.ch;info@sfgaargau.ch;t;t;f;f;47.394000;8.046000;ECOLE D ARTS APPLIQUES
CH_LY_033;École d'Arts Appliqués / Lycée;Public;GBS Gewerbliches Berufs- und Weiterbildungszentrum St.Gallen;Demutstrasse 115;;9012 ST. GALLEN;9012;CH-SG;Saint-Gall;CH;Suisse;CH-ALE;Suisse Alémanique;f;t;t;+41 58 228 26 00;www.gbssg.ch;info@gbssg.ch;t;t;f;f;47.411600;9.351200;BERUFSBILDUNGSZENTRUM
CH_EC_034;Haute École d'Art et de Design;Public;SUPSI - Dipartimento ambiente costruzioni e design;Campus Mendrisio, Via Flora Ruchat-Roncati 15;;6850 MENDRISIO;6850;CH-TI;Tessin;CH;Suisse;CH-ITA;Suisse Italienne;f;f;f;+41 58 666 62 00;www.supsi.ch/dacd;dacd@supsi.ch;t;t;f;f;45.871100;8.986700;HAUTE ECOLE SPECIALISEE
CH_LY_035;École d'Arts Appliqués / Lycée;Public;CSIA - Centro scolastico per le industrie artistiche;Via Brentani 18;;6900 LUGANO;6900;CH-TI;Tessin;CH;Suisse;CH-ITA;Suisse Italienne;t;t;t;+41 91 815 10 11;www.csia.ti.ch;decs-csia@ti.ch;t;t;f;f;46.012500;8.959200;ECOLE D ARTS APPLIQUES
CH_LY_036;Liceo cantonale;Public;Liceo cantonale di Lugano 1 (Opzione Arti visive);Viale Carlo Cattaneo 4;;6900 LUGANO;6900;CH-TI;Tessin;CH;Suisse;CH-ITA;Suisse Italienne;t;f;f;+41 91 815 55 11;www.liceolugano1.ch;decs-liceo.lugano1@ti.ch;f;t;f;f;46.007000;8.958000;LICEO CANTONALE
CH_LY_037;Liceo cantonale;Public;Liceo cantonale di Mendrisio (Opzione Arti visive);Via Agostino Maspoli;;6850 MENDRISIO;6850;CH-TI;Tessin;CH;Suisse;CH-ITA;Suisse Italienne;t;f;f;+41 91 816 41 11;www.licmendrisio.ch;decs-liceo.mendrisio@ti.ch;f;t;f;f;45.870000;8.981000;LICEO CANTONALE
CH_LY_038;Liceo cantonale;Public;Liceo cantonale di Bellinzona (Opzione Arti visive);Via Vincenzo Vela 11;;6500 BELLINZONA;6500;CH-TI;Tessin;CH;Suisse;CH-ITA;Suisse Italienne;t;f;f;+41 91 814 02 11;www.licbellinzona.ch;decs-liceo.bellinzona@ti.ch;f;t;f;f;46.195000;9.026000;LICEO CANTONALE
CH_LY_039;Kantonsschule / Gymnasium;Public;Kantonsschule Rämibühl (Bildnerisches Gestalten);Rämistrasse 54;;8001 ZURICH;8001;CH-ZH;Zurich;CH;Suisse;CH-ALE;Suisse Alémanique;t;f;f;+41 44 265 62 11;www.raemibuehl.ch;sekretariat@rgzh.ch;f;t;f;f;47.371000;8.552000;KANTONSSCHULE
CH_LY_040;Kantonsschule / Gymnasium;Public;Kantonsschule Enge (Schwerpunkt Bildnerisches Gestalten);Steigerweg 1;;8002 ZURICH;8002;CH-ZH;Zurich;CH;Suisse;CH-ALE;Suisse Alémanique;t;f;f;+41 44 283 16 16;www.kantonsschuleenge.ch;kanzlei@kantonsschuleenge.ch;f;t;f;f;47.359000;8.529000;KANTONSSCHULE
CH_LY_041;Kantonsschule / Gymnasium;Public;Gymnasium am Münsterplatz Basel (Bildnerisches Gestalten);Münsterplatz 13;;4051 BASEL;4051;CH-BS;Bâle-Ville;CH;Suisse;CH-ALE;Suisse Alémanique;t;f;f;+41 61 267 61 00;www.gmbasel.ch;gm@bs.ch;f;t;f;f;47.556000;7.593000;GYMNASIUM
CH_LY_042;Kantonsschule / Gymnasium;Public;Gymnasium Kirchenfeld Bern (Bildnerisches Gestalten);Kirchenfeldstrasse 25;;3005 BERN;3005;CH-BE;Berne;CH;Suisse;CH-ALE;Suisse Alémanique;t;f;f;+41 31 350 63 00;www.gymalche.ch;info@gymalche.ch;f;t;f;f;46.942000;7.452000;GYMNASIUM
CH_LY_043;Kantonsschule / Gymnasium;Public;Kantonsschule am Burggraben St.Gallen (Bildnerisches Gestalten);Burggraben 21;;9000 ST. GALLEN;9000;CH-SG;Saint-Gall;CH;Suisse;CH-ALE;Suisse Alémanique;t;f;f;+41 58 228 14 00;www.ksb-sg.ch;rektorat@ksb-sg.ch;f;t;f;f;47.426000;9.378000;KANTONSSCHULE
CH_LY_044;Kantonsschule / Gymnasium;Public;Kantonsschule Luzern (Kantonsschule Alpenquai);Alpenquai 46;;6005 LUZERN;6005;CH-LU;Lucerne;CH;Suisse;CH-ALE;Suisse Alémanique;t;f;f;+41 41 367 12 12;www.ksalpenquai.ch;alpenquai@edulu.ch;f;t;f;f;47.042000;8.324000;KANTONSSCHULE
